CMDLINE python main.py
MEM 46.187500 1569653798.1715
MEM 46.187500 1569653798.2756
MEM 46.187500 1569653798.3798
MEM 46.187500 1569653798.4839
MEM 46.187500 1569653798.5881
MEM 46.187500 1569653798.6918
MEM 46.187500 1569653798.7954
MEM 46.187500 1569653798.8991
MEM 46.187500 1569653799.0033
MEM 46.187500 1569653799.1074
MEM 46.187500 1569653799.2115
MEM 46.187500 1569653799.3152
MEM 46.187500 1569653799.4189
MEM 46.187500 1569653799.5226
MEM 46.187500 1569653799.6267
MEM 46.187500 1569653799.7309
MEM 46.187500 1569653799.8345
MEM 46.187500 1569653799.9387
MEM 46.187500 1569653800.0433
MEM 46.187500 1569653800.1470
MEM 46.187500 1569653800.2512
MEM 46.187500 1569653800.3548
MEM 46.187500 1569653800.4595
MEM 46.187500 1569653800.5641
MEM 46.187500 1569653800.6683
MEM 46.187500 1569653800.7725
MEM 46.187500 1569653800.8766
MEM 46.187500 1569653800.9808
MEM 46.187500 1569653801.0844
MEM 46.187500 1569653801.1881
MEM 46.187500 1569653801.2918
MEM 46.187500 1569653801.3959
MEM 46.187500 1569653801.5001
MEM 46.187500 1569653801.6038
MEM 46.187500 1569653801.7079
MEM 46.187500 1569653801.8126
MEM 46.187500 1569653801.9162
MEM 46.187500 1569653802.0204
MEM 46.187500 1569653802.1246
MEM 46.187500 1569653802.2292
MEM 46.187500 1569653802.3334
MEM 46.187500 1569653802.4376
MEM 46.187500 1569653802.5422
MEM 46.187500 1569653802.6468
MEM 46.187500 1569653802.7505
MEM 46.187500 1569653802.8547
MEM 46.187500 1569653802.9593
MEM 46.187500 1569653803.0645
MEM 46.187500 1569653803.1681
MEM 46.187500 1569653803.2723
MEM 46.187500 1569653803.3760
MEM 46.187500 1569653803.4811
MEM 46.187500 1569653803.5848
MEM 46.187500 1569653803.6879
MEM 46.187500 1569653803.7921
MEM 46.187500 1569653803.8963
MEM 46.187500 1569653804.0019
MEM 46.187500 1569653804.1056
MEM 46.187500 1569653804.2092
MEM 46.187500 1569653804.3139
MEM 46.187500 1569653804.4181
MEM 46.187500 1569653804.5222
MEM 46.187500 1569653804.6269
MEM 46.187500 1569653804.7316
MEM 46.187500 1569653804.8347
MEM 46.187500 1569653804.9389
MEM 46.187500 1569653805.0430
MEM 46.187500 1569653805.1472
MEM 46.187500 1569653805.2513
MEM 46.187500 1569653805.3555
MEM 46.187500 1569653805.4597
MEM 46.187500 1569653805.5638
MEM 46.187500 1569653805.6675
MEM 46.187500 1569653805.7711
MEM 46.187500 1569653805.8758
MEM 46.187500 1569653805.9800
MEM 46.187500 1569653806.0842
MEM 46.187500 1569653806.1878
MEM 46.187500 1569653806.2919
MEM 46.187500 1569653806.3961
MEM 46.187500 1569653806.5008
MEM 46.187500 1569653806.6045
MEM 46.187500 1569653806.7086
MEM 46.187500 1569653806.8128
MEM 46.187500 1569653806.9164
MEM 46.187500 1569653807.0206
MEM 46.187500 1569653807.1247
MEM 46.187500 1569653807.2294
MEM 46.187500 1569653807.3336
MEM 46.187500 1569653807.4372
MEM 46.187500 1569653807.5409
MEM 46.187500 1569653807.6461
MEM 46.187500 1569653807.7502
MEM 46.187500 1569653807.8544
MEM 46.187500 1569653807.9590
MEM 46.187500 1569653808.0632
MEM 46.187500 1569653808.1669
MEM 46.187500 1569653808.2710
MEM 46.187500 1569653808.3747
MEM 46.187500 1569653808.4789
MEM 46.187500 1569653808.5835
MEM 46.187500 1569653808.6867
MEM 46.187500 1569653808.7909
MEM 46.187500 1569653808.8990
MEM 46.187500 1569653809.0031
MEM 46.187500 1569653809.1063
MEM 46.187500 1569653809.2110
MEM 46.187500 1569653809.3151
MEM 46.187500 1569653809.4188
MEM 46.187500 1569653809.5229
MEM 46.187500 1569653809.6271
MEM 46.187500 1569653809.7312
MEM 46.187500 1569653809.8349
MEM 46.187500 1569653809.9391
MEM 46.187500 1569653810.0427
MEM 46.187500 1569653810.1469
MEM 46.187500 1569653810.2516
MEM 46.187500 1569653810.3547
MEM 46.187500 1569653810.4594
MEM 46.136719 1569653810.5635
MEM 46.136719 1569653810.6677
MEM 46.136719 1569653810.7714
MEM 46.136719 1569653810.8755
MEM 46.125000 1569653810.9797
MEM 46.125000 1569653811.0834
MEM 46.125000 1569653811.1870
MEM 46.125000 1569653811.2907
MEM 46.125000 1569653811.3953
MEM 46.125000 1569653811.4990
MEM 46.125000 1569653811.6032
MEM 46.125000 1569653811.7073
MEM 46.125000 1569653811.8125
MEM 46.125000 1569653811.9166
MEM 46.125000 1569653812.0203
MEM 46.125000 1569653812.1240
MEM 46.125000 1569653812.2281
MEM 46.125000 1569653812.3318
MEM 46.125000 1569653812.4355
MEM 46.125000 1569653812.5391
MEM 46.125000 1569653812.6438
MEM 46.125000 1569653812.7479
MEM 46.125000 1569653812.8521
MEM 46.125000 1569653812.9563
MEM 46.125000 1569653813.0619
MEM 46.125000 1569653813.1661
MEM 46.125000 1569653813.2697
MEM 46.125000 1569653813.3734
MEM 46.125000 1569653813.4775
MEM 46.125000 1569653813.5812
MEM 46.125000 1569653813.6854
MEM 46.125000 1569653813.7890
MEM 46.125000 1569653813.8942
MEM 46.125000 1569653813.9983
MEM 46.125000 1569653814.1025
MEM 46.125000 1569653814.2057
MEM 46.125000 1569653814.3098
MEM 46.125000 1569653814.4140
MEM 46.125000 1569653814.5182
MEM 46.125000 1569653814.6218
MEM 46.125000 1569653814.7260
MEM 46.125000 1569653814.8291
MEM 46.125000 1569653814.9328
MEM 46.125000 1569653815.0370
MEM 46.125000 1569653815.1411
MEM 46.125000 1569653815.2448
MEM 46.125000 1569653815.3484
MEM 46.125000 1569653815.4521
MEM 46.125000 1569653815.5855
MEM 46.125000 1569653815.6892
MEM 46.125000 1569653815.7939
MEM 46.125000 1569653815.8975
MEM 46.125000 1569653816.0022
MEM 46.125000 1569653816.1059
MEM 46.125000 1569653816.2105
MEM 46.125000 1569653816.3152
MEM 46.125000 1569653816.4188
MEM 46.125000 1569653816.5230
MEM 46.125000 1569653816.6271
MEM 46.125000 1569653816.7313
MEM 46.125000 1569653816.8350
MEM 46.125000 1569653816.9386
MEM 46.125000 1569653817.0433
MEM 46.125000 1569653817.1475
MEM 46.125000 1569653817.2511
MEM 46.125000 1569653817.3548
MEM 46.125000 1569653817.4584
MEM 46.125000 1569653817.5631
MEM 46.125000 1569653817.6668
MEM 46.125000 1569653817.7704
MEM 46.125000 1569653817.8746
MEM 46.125000 1569653817.9787
MEM 46.125000 1569653818.0829
